업종명,업소명,소재지(도로명),소재지(지번),소재지전화,업태명
일반음식점,송한푸드,"충청북도 청주시 상당구 용담로 6, 1층 (문화동)",충청북도 청주시 상당구 문화동 110-7 ,,한식
일반음식점,김쉐프의한식,"충청북도 청주시 상당구 용담로 7, 1층 138,139호 (문화동, 문화동 센트럴칸타빌)",충청북도 청주시 상당구 문화동 118 문화동 센트럴칸타빌 ,043 -223 -8849,한식
일반음식점,마실촌,"충청북도 청주시 상당구 용담로 7, 146호 (문화동, 문화동 센트럴칸타빌)",충청북도 청주시 상당구 문화동 118 문화동 센트럴칸타빌 ,043 -263 -5389,한식
일반음식점,bhc성안점,"충청북도 청주시 상당구 용담로 7, 주5동 1층 129호, 130호 (문화동, 문화동 센트럴칸타빌)",충청북도 청주시 상당구 문화동 118 문화동 센트럴칸타빌 ,,호프/통닭
일반음식점,Idee(이데아),"충청북도 청주시 상당구 용담로 7, 1층 137호 (문화동, 문화동 센트럴칸타빌)",충청북도 청주시 상당구 문화동 118 문화동 센트럴칸타빌 ,,한식
일반음식점,갤리604(galley604),"충청북도 청주시 상당구 용담로 7, 상가동 1층 128호 (문화동, 센트럴칸타빌)",충청북도 청주시 상당구 문화동 118 센트럴칸타빌 ,,경양식
일반음식점,철홍,"충청북도 청주시 상당구 용담로 7, 상가동 131호 (문화동, 센트럴칸타빌)",충청북도 청주시 상당구 문화동 118 센트럴칸타빌 상가동 131호,,중국식
일반음식점,다이어(Dyer),"충청북도 청주시 상당구 대성로 86, 1층 (문화동)",충청북도 청주시 상당구 문화동 14-3 ,,한식
일반음식점,용용생고기,"충청북도 청주시 상당구 대성로 88, 1층 (문화동)",충청북도 청주시 상당구 문화동 14-9 1층 ,043 -223 -2400,식육(숯불구이)
일반음식점,오리골,충청북도 청주시 상당구 대성로 98-8 (문화동),충청북도 청주시 상당구 문화동 15-15 ,,한식
일반음식점,일봉홍탁집,"충청북도 청주시 상당구 대성로 98-4 (문화동,(1층))",충청북도 청주시 상당구 문화동 15-17 (1층) ,043 -223 -5443,한식
일반음식점,오!자네왔는가·365곰탕,"충청북도 청주시 상당구 용담로 25-4 (문화동, 1층)",충청북도 청주시 상당구 문화동 31-1 1층 ,043 -223 -0365,한식
일반음식점,Bonheur Hyeon(보네르현),"충청북도 청주시 상당구 대성로122번길 22, 1층 (문화동)",충청북도 청주시 상당구 문화동 4-4 ,,기타
일반음식점,음매꿀꿀,"충청북도 청주시 상당구 용담로 21, 1층 (문화동)",충청북도 청주시 상당구 문화동 45-1 1층 ,043 -221 -4242,한식
일반음식점,카페문화동,"충청북도 청주시 상당구 대성로 97, 1층 (문화동)",충청북도 청주시 상당구 문화동 69-18 1층 ,,경양식
일반음식점,중앙탑막국수,충청북도 청주시 상당구 상당로58번길 17 (문화동),충청북도 청주시 상당구 문화동 69-9 , 043- 222-5333,한식
일반음식점,문화동본가,충청북도 청주시 상당구 대성로 102-15 (문화동),충청북도 청주시 상당구 문화동 7-2 , 043- 253-0992,한식
일반음식점,어부가,"충청북도 청주시 상당구 상당로 66, 1층 107,108호 (문화동, 나보나스퀘어 주건축물제1동)",충청북도 청주시 상당구 문화동 93-1 ,043 -252 -7301,기타
일반음식점,데이데이데이,"충청북도 청주시 상당구 상당로58번길 11-1, 1층 (문화동)",충청북도 청주시 상당구 문화동 96-4 1층 ,043 -222 -2396,경양식
일반음식점,본가식당,충청북도 청주시 상당구 상당로58번길 11-13 (문화동),충청북도 청주시 상당구 문화동 97-1 ,043 -255 -0292,한식
일반음식점,짜장타운,충청북도 청주시 상당구 미원면 단재로 3113,충청북도 청주시 상당구 미원면 구방리 128-1 ,043 -223 -0622,중국식
일반음식점,밤나무고을,충청북도 청주시 상당구 미원면 단재로 2879,충청북도 청주시 상당구 미원면 구방리 258-49 , 043- 252-1901,한식
일반음식점,모리화,충청북도 청주시 상당구 미원면 단재로 2896,충청북도 청주시 상당구 미원면 구방리 263-1 , 043-225 -1600,한식
일반음식점,단군의식탁,충청북도 청주시 상당구 미원면 단재로 2862,충청북도 청주시 상당구 미원면 구방리 267-8 ,043 -222 -7925,한식
일반음식점,시골손두부,충청북도 청주시 상당구 미원면 구방7길 2-13,충청북도 청주시 상당구 미원면 구방리 70-23 , 043- 221-2227,한식
일반음식점,동보원자연휴양림,"충청북도 청주시 상당구 미원면 구방2길 169, 주20동 1층",충청북도 청주시 상당구 미원면 구방리 산 38-4 1층 주20동 ,,한식
일반음식점,금관원조식당,충청북도 청주시 상당구 미원면 금관로 5,충청북도 청주시 상당구 미원면 금관리 280 , 043- 225-9115,한식
일반음식점,강변식당,충청북도 청주시 상당구 미원면 산외금관로 709,충청북도 청주시 상당구 미원면 금관리 356-1 , 043- 255-9075,한식
일반음식점,금관절경,충청북도 청주시 상당구 미원면 운암계원로 586-15,충청북도 청주시 상당구 미원면 금관리 408-1 , 043- 225-8114,한식
일반음식점,한우소머리곰탕,충청북도 청주시 상당구 미원면 내산길 39,충청북도 청주시 상당구 미원면 내산리 113-9 ,043 -298 -0563,한식
일반음식점,산넘어남촌에는,충청북도 청주시 상당구 미원면 미원초정로 856-2,충청북도 청주시 상당구 미원면 대신리 224-1 ,043 -296 -3053,한식
일반음식점,등산로가든,충청북도 청주시 상당구 미원면 미원초정로 986,충청북도 청주시 상당구 미원면 대신리 271-8 ,,한식
일반음식점,이티성영토,충청북도 청주시 상당구 미원면 미원초정로 978,충청북도 청주시 상당구 미원면 대신리 272-4 ,043 -296 -0801,한식
일반음식점,이븐데일그늘집2,충청북도 청주시 상당구 미원면 대신2길 31,충청북도 청주시 상당구 미원면 대신리 산 70 ,043 -288 -1000,기타
일반음식점,이븐데일레스토랑 나무,충청북도 청주시 상당구 미원면 대신2길 31,충청북도 청주시 상당구 미원면 대신리 산 70 ,043 -288 -1000,한식
일반음식점,이븐데일스타트하우스,충청북도 청주시 상당구 미원면 대신2길 31,충청북도 청주시 상당구 미원면 대신리 산 70 ,043 -288 -1000,기타
일반음식점,이븐데일그늘집1,충청북도 청주시 상당구 미원면 대신2길 31 (이븐데일 골프리조트내 티하우스 A동),충청북도 청주시 상당구 미원면 대신리 산 70 이븐데일 골프리조트내 티하우스 A동 ,043 -288 -1000,기타
일반음식점,옹심이칼국수,충청북도 청주시 상당구 미원면 미원시내4길 19,충청북도 청주시 상당구 미원면 미원리 218-1 ,043 -288 -2411,분식
일반음식점,엘셰프(L.CHEF),"충청북도 청주시 상당구 미원면 미원시내4길 51, 1층",충청북도 청주시 상당구 미원면 미원리 295-2 ,,경양식
일반음식점,손짜장일번지,충청북도 청주시 상당구 미원면 단재로 2459,충청북도 청주시 상당구 미원면 미원리 305-12 , 043- 298-0258,중국식
일반음식점,송학정,충청북도 청주시 상당구 미원면 단재로 2465,충청북도 청주시 상당구 미원면 미원리 305-8 , 043- 298-0393,한식
